Filename,Min,Max,Mean,Median,Std,Dur
I_CLE01_EU_FN_FER01_104,306.20,741.73,407.03,389.74,110.97,1.90
I_CLE01_EU_FN_FER01_105,64.65,460.93,371.62,394.16,110.71,1.92
I_CLE01_EU_FN_FER01_106,347.62,436.17,402.04,404.28,23.12,1.81
I_CLE01_EU_FN_FER01_107,352.42,448.57,397.44,397.14,26.64,2.04
I_CLE01_EU_FN_FER01_109,340.95,1769.25,410.17,380.61,217.87,2.01
I_CLE01_EU_FN_FER01_110,340.22,423.53,380.14,377.04,21.12,2.03
I_CLE01_EU_FN_FER01_111,344.06,407.96,383.29,386.31,14.66,1.92
I_CLE01_EU_FN_FER01_112,336.04,405.48,381.17,385.49,16.37,1.92
I_CLE01_EU_FN_FER01_113,363.80,424.14,394.58,393.99,17.34,1.86
I_CLE01_EU_FN_FER01_114,368.66,432.25,400.42,395.53,14.29,1.80
I_CLE01_EU_FN_FER01_115,363.27,443.85,389.41,381.96,22.60,2.01
I_CLE01_EU_FN_FER01_116,345.61,431.83,366.35,355.92,25.12,2.11
I_CLE01_EU_FN_FER01_117,373.49,440.27,409.80,402.99,17.43,1.80
I_CLE01_EU_FN_FER01_118,207.52,411.22,359.56,371.37,47.71,2.07
I_CLE01_EU_FN_FER01_119,199.89,2655.08,565.73,383.11,624.49,2.08
I_CLE01_EU_FN_FER01_120,201.34,433.73,373.61,377.65,55.10,2.15
I_CLE01_EU_FN_FER01_121,368.88,431.47,397.32,395.97,20.49,1.83
I_DAK01_MC_FN_SIM01_101,194.45,248.41,226.36,227.17,12.90,1.82
I_DAK01_MC_FN_SIM01_102,208.65,438.07,249.69,220.87,72.81,1.81
I_DAK01_MC_FN_SIM01_103,200.54,232.63,211.20,207.97,9.17,1.87
I_DAK01_MC_FN_SIM01_104,187.40,1544.97,312.67,215.90,336.10,1.68
I_DAK01_MC_FN_SIM01_105,198.20,2151.50,429.78,437.36,341.88,1.61
I_DAK01_MC_FN_SIM01_106,193.97,1866.99,891.70,523.90,616.92,1.52
I_DAK01_MC_FN_SIM01_107,415.39,485.49,455.61,459.22,18.70,1.71
I_DAK01_MC_FN_SIM01_108,219.61,996.69,490.85,451.33,160.37,1.94
I_DAK01_MC_FN_SIM01_109,405.82,480.84,440.33,439.12,18.59,1.70
I_DAK01_MC_FN_SIM01_110,196.44,1021.68,276.26,211.44,220.06,1.87
I_DAK01_MC_FN_SIM01_111,442.30,499.90,472.43,470.26,15.07,1.65
I_DAK01_MC_FN_SIM01_112,418.28,467.98,450.51,452.01,11.75,1.68
I_DAK01_MC_FN_SIM01_113,425.52,1919.33,734.76,462.59,568.43,1.55
I_DAK01_MC_FN_SIM01_114,374.89,1550.94,454.28,399.50,247.11,1.67
I_DAK01_MC_FN_SIM01_115,370.25,411.52,398.41,397.92,7.97,1.77
I_DAK01_MC_FN_SIM01_116,376.51,447.74,433.93,437.81,13.74,1.66
I_DAK01_MC_FN_SIM01_301,195.93,444.38,374.25,393.82,63.93,1.93
I_DAK01_MC_FN_SIM01_302,186.59,446.79,375.70,404.05,75.81,1.79
I_DAK01_MC_FN_SIM01_303,183.45,425.18,366.42,390.34,66.65,2.09
I_DAK01_MC_FN_SIM01_304,215.08,436.94,378.01,394.72,57.75,1.56
I_DAK01_MC_FN_SIM01_305,189.02,1797.15,402.53,374.33,298.74,1.78
I_DAK01_MC_FN_SIM01_306,195.02,390.53,352.55,373.80,56.29,1.76
I_DAK01_MC_FN_SIM01_307,346.06,416.87,383.46,383.24,14.77,1.76
I_DAK01_MC_FN_SIM01_308,344.49,438.43,386.10,387.49,20.55,1.73
I_DAK01_MC_FN_SIM01_309,341.37,435.46,384.47,383.33,17.18,1.71
I_DAK01_MC_FN_SIM01_310,184.16,2008.21,483.34,381.57,473.93,1.70
I_DAK01_MC_FN_SIM01_311,167.96,393.79,355.35,379.92,64.85,1.73
I_DAK01_MC_FN_SIM01_312,205.58,406.70,366.19,377.38,39.34,1.79
I_DAK01_MC_FN_SIM01_313,205.87,408.70,363.70,371.44,35.81,1.81
I_DAK01_MC_FN_SIM01_314,205.57,407.80,354.04,353.70,40.78,1.70
I_DAK01_MC_FN_SIM01_315,177.58,406.57,345.06,379.04,70.41,1.70
I_DAK01_MC_FN_SIM01_316,206.31,408.91,367.41,380.10,40.60,1.81
I_MAG01_EU_FN_FED01_101,166.57,520.83,429.02,461.41,97.66,2.01
I_MAG01_EU_FN_FED01_201,402.90,550.86,453.24,454.12,27.61,1.82
I_MAG01_EU_FN_FED01_202,376.55,444.12,425.98,428.84,14.89,1.80
I_MAT01_EU_FN_RIT01_201,573.79,1038.56,719.85,662.03,138.53,2.32
I_MAT01_EU_FN_RIT01_202,590.19,861.26,713.56,705.66,85.76,1.94
I_MAT01_EU_FN_RIT01_203,526.82,927.83,621.96,588.37,97.52,2.67
I_MAT01_EU_FN_RIT01_204,643.09,879.55,715.21,705.13,58.42,1.82
I_MAT01_EU_FN_RIT01_205,639.45,807.28,697.24,675.32,48.95,1.86
I_MAT01_EU_FN_RIT01_206,601.91,830.74,733.94,739.96,61.07,1.76
I_MAT01_EU_FN_RIT01_207,573.91,757.21,687.63,686.07,37.40,2.22
I_MAT01_EU_FN_RIT01_208,632.23,801.79,744.71,756.12,44.50,2.08
I_MAT01_EU_FN_RIT01_209,608.81,786.52,671.35,649.25,45.39,1.94
I_MAT01_EU_FN_RIT01_210,622.46,785.61,718.11,736.77,51.37,2.15
I_MEG01_MC_FI_SIM01_101,699.50,751.33,719.96,715.79,14.93,1.74
I_MEG01_MC_FI_SIM01_102,712.47,2282.31,819.58,727.56,320.79,1.77
I_MEG01_MC_FI_SIM01_103,754.61,820.18,789.48,784.87,16.97,1.55
I_MEG01_MC_FI_SIM01_104,520.28,1835.99,679.71,559.41,371.26,1.56
I_MEG01_MC_FI_SIM01_301,692.97,2040.00,1134.89,729.19,588.56,1.61
I_MEG01_MC_FI_SIM01_302,584.86,807.08,701.21,693.27,55.23,1.66
I_MEG01_MC_FI_SIM01_303,709.51,813.09,757.50,756.72,30.58,1.53
I_MEG01_MC_FI_SIM01_304,736.82,781.96,766.09,769.38,12.60,1.64
I_MEG01_MC_FI_SIM01_305,671.58,1897.83,774.39,717.66,256.14,1.81
I_MEG01_MC_FI_SIM01_306,667.65,785.44,712.05,708.01,34.09,1.72
I_MIN01_EU_FN_BEN01_101,238.15,521.50,448.08,457.55,61.66,2.22
I_MIN01_EU_FN_BEN01_102,240.87,497.87,423.42,450.08,83.26,1.90
I_MIN01_EU_FN_BEN01_103,378.73,498.69,446.79,451.62,37.65,2.35
I_MIN01_EU_FN_BEN01_104,386.75,480.17,449.69,454.95,21.58,2.19
I_MIN01_EU_FN_BEN01_105,348.95,461.55,416.98,426.13,35.29,2.60
I_MIN01_EU_FN_BEN01_106,393.60,491.98,448.67,450.84,28.02,2.16
I_NIG01_MC_MN_SIM01_201,176.25,1051.96,467.82,480.43,224.89,1.63
I_NUL01_MC_MI_SIM01_101,556.85,634.91,603.01,597.97,20.63,1.98
I_NUL01_MC_MI_SIM01_201,491.81,567.61,532.22,531.86,16.26,1.87
I_NUL01_MC_MI_SIM01_202,449.30,550.10,485.67,483.01,26.43,1.94
I_NUL01_MC_MI_SIM01_203,429.05,480.58,452.48,455.14,12.65,2.01
I_NUL01_MC_MI_SIM01_204,404.14,488.00,445.25,440.75,21.64,2.04
I_NUL01_MC_MI_SIM01_205,356.22,513.88,443.51,444.07,46.18,2.14
I_NUL01_MC_MI_SIM01_301,496.33,621.06,568.84,572.53,30.69,1.99
I_NUL01_MC_MI_SIM01_302,468.30,596.92,528.97,521.61,32.56,1.82
I_NUL01_MC_MI_SIM01_303,486.17,571.00,540.68,544.76,19.37,1.74
I_NUL01_MC_MI_SIM01_304,473.79,560.24,518.12,513.11,22.01,1.72
I_REG01_EU_FN_GIO01_201,351.25,2908.90,835.37,702.57,507.20,1.80
I_SPI01_EU_MN_NAI01_101,257.15,2182.10,468.13,274.99,449.38,2.34
I_SPI01_EU_MN_NAI01_102,251.66,563.78,414.53,453.80,126.59,2.26
I_SPI01_EU_MN_NAI01_103,248.29,1843.41,635.58,462.19,532.08,2.33
I_SPI01_EU_MN_NAI01_104,257.30,1783.94,601.36,519.90,450.76,2.03
I_SPI01_EU_MN_NAI01_105,252.14,1929.47,508.84,527.26,226.86,2.69
I_SPI01_EU_MN_NAI01_201,283.07,600.64,495.48,534.62,105.88,2.06
I_SPI01_EU_MN_NAI01_202,194.59,588.92,466.18,528.43,122.98,2.15
I_SPI01_EU_MN_NAI01_203,361.20,571.16,534.16,545.03,35.33,2.10
I_SPI01_EU_MN_NAI01_204,501.30,1080.65,615.43,530.39,184.03,2.33
I_SPI01_EU_MN_NAI01_205,477.88,563.96,533.12,541.13,23.65,2.38
I_SPI01_EU_MN_NAI01_301,255.28,891.33,489.53,529.85,136.24,2.54
I_SPI01_EU_MN_NAI01_302,270.65,672.74,470.32,516.87,116.13,2.42
I_SPI01_EU_MN_NAI01_303,133.53,586.45,457.99,527.09,126.71,2.48
I_SPI01_EU_MN_NAI01_304,251.78,550.78,472.43,524.86,100.98,2.70
I_SPI01_EU_MN_NAI01_305,415.65,562.51,523.82,542.46,37.03,2.72
I_TIG01_EU_FN_GIU01_201,672.44,699.96,685.62,684.73,6.63,1.26
I_TIG01_EU_FN_GIU01_202,586.94,711.26,630.81,620.69,37.99,1.75
I_TIG01_EU_FN_GIU01_203,553.55,1861.63,723.20,615.15,359.79,1.63
I_WHO01_MC_FI_SIM01_101,724.47,2043.89,946.68,900.95,298.91,2.16
I_WHO01_MC_FI_SIM01_102,170.30,975.63,844.87,877.46,166.58,1.92
I_WHO01_MC_FI_SIM01_103,675.32,846.16,770.00,770.48,49.37,1.80
I_WHO01_MC_FI_SIM01_104,776.69,950.80,857.11,864.64,38.55,1.86
I_WHO01_MC_FI_SIM01_105,639.09,1043.15,750.15,706.79,110.12,2.15
I_WHO01_MC_FI_SIM01_106,729.48,939.95,863.93,889.11,69.34,2.08
I_WHO01_MC_FI_SIM01_107,804.36,987.53,871.34,859.41,49.22,1.99
I_WHO01_MC_FI_SIM01_108,855.93,933.73,883.47,883.96,14.33,2.04
I_WHO01_MC_FI_SIM01_109,791.86,903.13,843.86,828.70,38.12,1.91
I_WHO01_MC_FI_SIM01_110,674.95,804.72,732.65,733.52,31.86,1.68
I_WHO01_MC_FI_SIM01_111,785.49,935.54,815.31,818.25,24.75,1.84
I_WHO01_MC_FI_SIM01_112,653.94,892.88,729.22,699.89,60.40,1.76
I_WHO01_MC_FI_SIM01_113,686.31,849.01,749.71,755.20,44.29,1.92
I_WHO01_MC_FI_SIM01_114,837.40,3285.40,1005.34,886.55,509.60,1.63
I_WHO01_MC_FI_SIM01_115,736.00,1430.94,864.25,792.45,154.86,1.89
I_WHO01_MC_FI_SIM01_116,820.56,980.12,937.65,948.61,32.41,2.12
I_WHO01_MC_FI_SIM01_201,695.03,918.07,862.78,879.28,55.93,2.08
I_WHO01_MC_FI_SIM01_301,832.78,970.03,915.29,920.96,39.38,1.86
